"","A4","B4","C4","F3","G3","H3"
"AAEL000867",6,3,0,7,5,1
"AAEL000869",0,0,0,0,0,0
"AAEL000870",0,0,0,0,0,0
"AAEL000871",0,0,0,0,0,0
"AAEL000873",0,0,0,0,0,0
"AAEL000874",27,26,30,9,6,9
"AAEL000875",10,7,11,62,42,43
"AAEL000876",0,0,0,0,0,0
"AAEL000878",0,0,0,0,0,0
"AAEL000881",0,0,0,0,0,0
"AAEL000882",0,0,0,0,0,0
"AAEL000883",20,14,7,52,29,32
"AAEL000885",0,0,0,0,0,0
"AAEL000886",0,0,0,1,1,1
"AAEL000889",0,0,0,0,0,0
"AAEL000890",0,0,0,0,0,0
"AAEL000893",0,0,0,0,0,0
"AAEL000894",0,0,0,0,0,0
"AAEL000896",0,1,0,0,0,0
"AAEL000897",0,0,0,0,1,0
"AAEL000898",204,245,175,612,487,492
"AAEL000899",12,21,7,32,21,17
"AAEL000900",1,0,0,2,1,0
"AAEL000902",48,68,15,156,176,86
"AAEL000903",25,19,25,60,46,34
"AAEL000904",35,37,20,170,184,132
"AAEL000905",284,135,50,729,718,511
"AAEL000910",0,12,1,5,0,1
"AAEL000911",0,0,0,0,0,0
"AAEL000912",0,0,0,0,0,0
"AAEL000914",0,0,0,0,0,0
"AAEL000915",816,1016,685,1394,1391,1278
"AAEL000916",0,0,0,0,0,0
"AAEL000918",9,6,14,16,18,15
"AAEL000921",0,0,0,0,0,0
"AAEL000922",2,3,3,10,6,4
"AAEL000923",0,0,1,0,0,0
"AAEL000924",6,2,5,9,10,9
"AAEL000925",3,8,2,5,4,15
"AAEL000926",0,0,0,1,1.4472,1
"AAEL000928",0,0,0,0,0,0
"AAEL000930",62,74,46,142,93,104
"AAEL000931",1,3,6,229,67,186
"AAEL000932",0,0,0,0,1,0
"AAEL000933",13,12,12,25,23,25
"AAEL000934",86,77,61,215,171,191
"AAEL000936",3,6,4,15,14,15
"AAEL000937",0,0,0,0,0,0
"AAEL000938",3,1,8,12,11,9
"AAEL000939",1,1,0,2,2,1
"AAEL000940",1255,1053,1011,944,814,759
"AAEL000941",145,133,99,525,254,244
"AAEL000942",61.828801,58.2796,32.333841,269.30231,241.525226,128.628814
"AAEL000943",4,3,8,14,8,6
"AAEL000944",93,42,59,72,59,62
"AAEL000947",188,75,111,354,263.07383,192
"AAEL000948",181,268,188,739,532,591
"AAEL000949",7,5,8,22,28,21
"AAEL000950",129,116,146,787,721,658
"AAEL000951",1116,1036,910,1555,1210,960
"AAEL000952",1,2.5,1.5,18,8.5,6
"AAEL000953",43,30,19,39,46,45
"AAEL000955",26,30,46,86,53,34
"AAEL000956",1,3,4,24,34,45
"AAEL000958",137.171199,93.7204,65.666159,180.69769,129.474774,188.371186
"AAEL000961",0,0,0,0,0,1
"AAEL000962",4.60166,6.380227,4.559726,5.850043,7,4.725938
"AAEL000963",72,38,37,231,173,204
"AAEL000964",0,0,0,0,0,0
"AAEL000965",28,25,22,54,45,41
"AAEL000967",15.999999,7,12.999999,24.000001,19,19.000001
"AAEL000970",63.999999,57.092774,93.88263,83.288917,74.206263,76.329571
"AAEL000973",0,0,0,0,0,0
"AAEL000978",2,4,4,16,17,14
"AAEL000979",0.002007,0.001093,0,0,0,0.000876
